1964-01-01,156937,-133886,,-03%,,,
1965-01-01,106739,24068,,-76%,,,
1966-01-01,417339,-57214,,97%,,,
1966-08-23,807505,-326510,,,,,
1967-01-01,825015,3825,,29%,,,
1968-01-01,495744,-68578,,13%,,,
1968-07-01,276778,-134334,,,,,
1968-08-10,653248,-321495,,,,,
1969-01-01,867134,-614386,,42%,,,
1969-02-22,873755,-202577,,,,,
1970-01-01,515208,-443782,,177%,,,
1971-01-01,363399,-304052,,-64%,,,
1971-03-12,563111,63853,,,,,
1972-01-01,490240,79108,,-50%,,,
1972-07-13,174370,27567,,,,,
1973-01-01,67531,74105,,-23%,,,
1973-11-23,530170,6238,,,,,
1974-01-01,817060,-365080,,-94%,,,
1974-12-30,499405,-498149,,,,,
1975-01-01,191905,-125495,,-75%,,,
1976-01-01,803674,-56363,,-73%,,,
1976-02-23,321744,-54724,,,,,
1977-01-01,138368,-32847,,95%,,,
1977-09-13,253210,-137035,,,,,
1977-10-15,672229,-768,,,,,
1977-11-13,405545,-290011,,,,,
1978-01-01,188934,-46969,,172%,,,
1978-01-13,318645,-308149,,,,,
1979-01-01,528325,-178604,,196%,,,
1979-01-29,149719,-34711,,,,,
1979-05-02,672460,44360,,,,,
1980-01-01,875949,-459885,,-54%,,,
1981-01-01,652370,-521051,,-4%,,,
1981-04-04,53255,70986,,,,,
1981-07-12,61741,98467,,,,,
1981-11-18,719474,-18259,,,,,
1982-01-01,495477,-40406,,-80%,,,
1983-01-01,809322,-200490,,-01%,,,
1983-05-26,958285,-461373,,,,,
1984-01-01,496237,-64615,,195%,,,
1984-11-26,936262,-64258,,,,,
1985-01-01,310130,-269509,,-98%,,,
1986-01-01,326908,-194985,,-57%,,,
1987-01-01,576856,-118463,,-90%,,,
1987-02-10,298408,-259377,,,,,
1988-01-01,957762,-807968,,-69%,,,
1989-01-01,593977,-377829,,-76%,,,
1989-02-20,908735,-165689,,,,,
1989-05-11,18216,51840,,,,,
1989-07-11,660013,-182060,,,,,
1990-01-01,848019,-77461,,-01%,,,
1991-01-01,364302,-310406,,-43%,,,
1992-01-01,83395,61261,,-23%,,,
1992-11-28,744971,-34729,,,,,
1993-01-01,213927,-162065,,63%,,,
1993-03-03,937994,-504738,,,,,
1994-01-01,730829,-642981,,140%,,,
1995-01-01,490308,-4037,,20%,,,
1995-01-04,546955,-107102,,,,,
1995-08-31,90033,79980,,,,,
1996-01-01,947684,-419443,,149%,,,
1996-03-14,593546,-297285,,,,,
1997-01-01,392358,68371,,47%,,,
1998-01-01,548998,-92542,,57%,,,
1998-03-14,581081,-65074,,,,,
1998-06-22,12516,19610,,,,,
1999-01-01,439166,36391,,130%,,,
2000-01-01,961213,-451451,,186%,,,
2001-01-01,541082,-508155,,-50%,,,
2002-01-01,532723,90535,,-29%,,,
2002-06-05,24832,81117,,,,,
2003-01-01,627014,30719,,-41%,,,
2003-02-11,630276,-319431,,,,,
2003-03-18,642064,-523605,,,,,
2004-01-01,49323,1513,,147%,,,
2004-06-16,516939,35277,,,,,
2005-01-01,813409,-578798,,-39%,,,
2006-01-01,318652,-127638,,50%,,,
2007-01-01,333330,6243,,-80%,,,
2008-01-01,955625,-94142,,120%,,,
2008-04-12,26209,61030,,,,,
2009-01-01,603914,-567612,,-92%,,,
2010-01-01,970654,-389658,,-85%,,,
2010-10-28,915646,-79354,,,,,
2011-01-01,606971,-161395,,-92%,,,
2011-01-20,907609,-727468,,,,,
2012-07-14,776221,-220411,,,,,
